"","Symbol","logFC","logCPM","LR","PValue","FDR"
"67701","Wfdc2",2.63705149329504,6.34510659552929,196.465405571753,1.23365340703497e-44,1.97359872057455e-40
"227620","Uap1l1",2.67415801400446,4.72323586895105,188.278230092463,7.5537916828407e-43,6.04227796710427e-39
"217845","Ifi27l2b",2.84466376030352,4.15408353962005,179.739998213748,5.52318355800633e-41,2.94532968536617e-37
"17068","Ly6d",3.67636239252785,7.14021579058882,140.822166489464,1.75965919679941e-32,7.03775695759923e-29
"56644","Clec7a",2.4671702551409,5.1598265810483,136.524032615387,1.53247594740651e-31,4.90331004132186e-28
"17381","Mmp12",5.05897107118019,3.24074209490065,135.867220298541,2.1332954934052e-31,5.68807688391606e-28
"68774","Ms4a6d",2.07801490668593,3.000907325352,134.915546167396,3.44515699795189e-31,7.87366023617633e-28
"80885","Hcar2",2.5398166102269,1.62401230021797,133.959429231449,5.57634148653794e-31,1.11512888877042e-27
"16956","Lpl",2.52195126356701,6.06665525186943,133.654689305159,6.50144974010869e-31,1.15566881046954e-27
"71720","Osbpl3",3.5456151700095,3.37614315020549,132.25738432729,1.31425658006135e-30,2.10254767678215e-27
"20970","Sdc3",1.36970812898997,5.37146673984874,130.537299974412,3.12602663585608e-30,4.54637946549324e-27
"66082","Abhd6",-1.16330357396029,5.99963409159837,129.529472543426,5.19394911854273e-30,6.92439983320389e-27
"72022","Slc35f2",8.13769520080352,0.686296381001761,127.043554753086,1.81740899464495e-29,2.23653146894846e-26
"171170","Mbnl3",2.08993482960145,2.5158643430783,122.646655092315,1.66631787811946e-28,1.90412524386822e-25
"20753","Sprr1a",8.819806608454,2.65090284628731,121.004004902807,3.81361269021751e-28,4.06734505453998e-25
"68393","Mogat1",2.82300310353755,2.63855640211621,120.870847815887,4.07836946430983e-28,4.07785966812679e-25
"12262","C1qc",1.27450104421354,6.29591638040113,119.883806758505,6.70767337038512e-28,6.31231521055418e-25
"231842","Amz1",2.45707500609528,3.10613098727434,118.681844650658,1.22949719271525e-27,1.09274978272548e-24
"16852","Lgals1",2.50437569914089,6.95064668669075,115.421929443694,6.36147637634479e-27,5.35636310888231e-24
"12512","Cd63",2.49701682423418,7.32719462730674,113.323664975286,1.83276724025721e-26,1.46603051548174e-23
"93695","Gpnmb",4.15162523332134,4.28376798359678,111.855601989999,3.84305302332271e-26,2.92767439367222e-23
"12047","Bcl2a1d",2.34855080205962,1.94381516431227,108.377442426056,2.22171963610363e-25,1.61559412447208e-22
"64297","Gprc5b",3.73814275366537,2.21696952924883,108.102807847569,2.55191742010582e-25,1.77502499508056e-22
"100042318","Gm3787",-2.60998351977651,2.2264120037295,107.812904544959,2.9538681018475e-25,1.96899924555651e-22
"17118","Marcks",1.18716024916855,6.03509680408378,106.06271587429,7.14381468609327e-25,4.5714698939248e-22
"16912","Psmb9",1.82684118336378,2.83307555538988,105.856171981641,7.92859545923843e-25,4.87852577526524e-22
"13051","Cx3cr1",2.81954460299682,3.73397719647686,103.549303205352,2.53994103144071e-24,1.50496209707365e-21
"14955","H19",6.10460897816993,3.08349127734255,103.064261712477,3.24451474615159e-24,1.85377667531904e-21
"26362","Axl",1.25204761201153,5.33375313181165,102.780088359105,3.74494673434945e-24,2.06591923641802e-21
"12045","Bcl2a1b",2.71572401893849,2.61599224186345,102.256189183987,4.87863058505264e-24,2.5865344472774e-21
"24108","Ubd",6.08069035965792,3.03991866097754,102.202746483858,5.0120369962245e-24,2.5865344472774e-21
"83433","Trem2",3.41445311408495,2.85563828111454,100.80765534636,1.01363799745449e-23,5.06755646352402e-21
"11801","Cd5l",1.51423698016934,9.67232613616558,99.438275484993,2.02373359061464e-23,9.81081514625846e-21
"65972","Ifi30",1.36528259793299,4.94459624432018,98.8557562991074,2.71579546177841e-23,1.27786164110385e-20
"17476","Mpeg1",1.97405692369736,4.30502607499847,98.3176744102758,3.56370979689598e-23,1.6289208380212e-20
"109711","Actn1",1.15186058652796,5.36249469575731,97.7923300567014,4.64643864209432e-23,2.06482570545069e-20
"66684","Tceal8",1.86119335362022,4.0699807936516,97.0345960539753,6.81265078798447e-23,2.94564290016691e-20
"19240","Tmsb10",1.63313719514423,3.95856099983681,96.6661175011497,8.20616322152896e-23,3.45479471626369e-20
"11513","Adcy7",1.91645826206896,2.15890521682532,94.9553327050196,1.94729967013438e-22,7.98792310841278e-20
"69810","Clec4b1",2.72142222152643,2.84916041379529,94.5518466634872,2.3875626834225e-22,9.54905695234827e-20
"17105","Lyz2",1.87742109917507,4.77507243011424,92.5954421222581,6.41550133355507e-22,2.50329732522473e-19
"102022","Ces2a",-1.4585236563811,7.61917579169804,90.6411314576296,1.72242334489377e-21,6.56079254085963e-19
"22177","Tyrobp",1.30769748145925,5.26364902560106,89.8733183597187,2.53908263030725e-21,9.44656835340823e-19
"56193","Plek",1.66325529184129,2.70911100571286,89.1183423126095,3.71886846287782e-21,1.35214676520726e-18
"23849","Klf6",1.2871535182723,4.60138155394701,87.1225767841716,1.01999539154218e-20,3.62619694975375e-18
"21944","Tnfsf12",1.84202212748462,2.98036075074238,86.8365779328626,1.17869252747356e-20,4.09928762054825e-18
"52855","Lair1",1.58767120947759,2.95964239979174,86.7902883870552,1.20660587688727e-20,4.10708102520055e-18
"16854","Lgals3",2.09336133989291,4.63860512901662,86.0405414983282,1.76284296549579e-20,5.87540870041701e-18
"17916","Myo1f",1.81515025719696,2.90625666845951,84.7612175879172,3.36663618231855e-20,1.09917236009657e-17
"21391","Tbxas1",1.77467017437167,2.77305530230999,84.6391245212908,3.58108296080188e-20,1.14580330413817e-17
"74559","Elovl7",5.09000620260429,0.762240493172537,84.4312513035402,3.9780982179958e-20,1.24787480963719e-17
"17386","Mmp13",5.74496884383308,0.792566138910142,84.2070911735872,4.45569638994902e-20,1.37081213166162e-17
"56620","Clec4n",1.36758487841662,4.06231857541079,83.4240867910257,6.62103197471015e-20,1.99855225530968e-17
"15006","H2-Q1",2.84865246501502,4.22329460490383,83.3502474802409,6.8730201044514e-20,2.03619584501877e-17
"20345","Selplg",1.74935993007561,2.30786839153946,83.1715208770364,7.52338263310422e-20,2.1883468248073e-17
"17777","Mttp",-0.843578999574779,7.29250307216687,82.800440487968,9.07697472703352e-20,2.59309717291218e-17
"12835","Col6a3",2.25731505078944,3.86809934196353,82.4563928360688,1.08027323213534e-19,3.03196687152651e-17
"14562","Gdf3",5.03324423022906,0.732415784110385,82.3618248913934,1.13321485436033e-19,3.12571917932011e-17
"15945","Cxcl10",2.33572028547462,2.32423354537441,81.6807330974589,1.59945167819675e-19,4.33695388945621e-17
"12825","Col3a1",3.04256459597491,3.02522211027975,80.8537745104752,2.43053150573822e-19,6.48060717146667e-17
"226143","Cyp2c23",-1.6327520557073,6.32451497574486,79.7674653293465,4.21171115183819e-19,1.1045730329034e-16
"14960","H2-Aa",1.9810740702019,6.3378760609157,79.5487842053746,4.70464218673651e-19,1.21394944682921e-16
"14969","H2-Eb1",1.9273639154122,6.56224254023284,79.3436274357047,5.21943231910942e-19,1.3254044165256e-16
"100504589","Gm11454",4.85034712637265,-0.391027328778428,78.173667921926,9.43681361055263e-19,2.35890850221283e-16
"12332","Capg",1.93137085194792,3.29221600542011,78.1301468348556,9.64703540519634e-19,2.37435803711278e-16
"54140","Avpr1a",-1.54479919841863,5.57757255618948,77.7213772913179,1.18650236687594e-18,2.87600982807293e-16
"50934","Slc7a8",2.31758178791169,2.49071531047462,77.3832912431831,1.40801322410184e-18,3.31521966395122e-16
"64294","Itm2c",1.39051020643138,5.44028590510894,77.3817049776589,1.4091445002418e-18,3.31521966395122e-16
"54519","Apbb1ip",1.4518155673503,3.18343200527921,77.2097248976298,1.53734702909653e-18,3.56441706833136e-16
"226421","Rab7b",1.52720912334877,2.94910082354169,76.9847276363754,1.72285091002563e-18,3.93745269408429e-16
"21857","Timp1",3.96941919499513,0.516709358693531,75.7350410404591,3.24399392672901e-18,7.30949504786067e-16
"320982","Arl4c",1.45703481283597,3.3938448244571,75.2058941933921,4.2409914408532e-18,9.4232473709402e-16
"74525","Fam234b",-1.20504766991388,4.88922092854282,75.1171666588146,4.43592575560508e-18,9.72136167646164e-16
"16792","Laptm5",1.40885515832505,6.26748083194346,74.8603040209469,5.05226889247895e-18,1.09224591543079e-15
"57429","Sult5a1",-2.6802425591708,3.97842865254549,73.8532651208744,8.41451059030858e-18,1.79487120565009e-15
"320129","Grk3",1.92711746263298,2.75581703292916,73.4318946368372,1.04169151279781e-17,2.19276063443939e-15
"12306","Anxa2",2.32841660370955,6.6380476374163,73.2465621729364,1.14424300767493e-17,2.35895830081637e-15
"209086","Samd9l",1.54905157600516,2.76871975352171,73.2364233513753,1.15013593864031e-17,2.35895830081637e-15
"72318","Cyth4",1.76820633638713,3.73113595861854,73.0504935268817,1.26374995916542e-17,2.55917365148461e-15
"98365","Slamf9",2.31673906847578,1.44839976759472,72.8010948446486,1.43397280915878e-17,2.86758712511528e-15
"12842","Col1a1",3.19961458311144,3.04574702822983,72.4719589737348,1.69422240791433e-17,3.34619383726093e-15
"105855","Nckap1l",1.43024518929494,3.91297354938384,72.2473841891467,1.89842172875893e-17,3.70377448983969e-15
"18577","Pde4a",1.16997816659077,3.68233104660767,71.2416667406503,3.1604287752826e-17,6.0298214335333e-15
"99899","Ifi44",1.77086017698006,3.48950457044553,71.2381593166484,3.16605200910612e-17,6.0298214335333e-15
"433904","Ociad2",2.04661735537595,4.6514870892409,70.8399609278749,3.87410008261508e-17,7.25789294356052e-15
"12267","C3ar1",1.48666163840608,3.31657604349407,70.8260034714566,3.9016051578085e-17,7.25789294356052e-15
"74748","Slamf8",1.97608158104979,3.39380331698755,70.1545652862959,5.48349883066761e-17,1.00833349762092e-14
"14738","Gpr12",2.49266696935968,0.868950746782616,69.9382581740071,6.11900634821841e-17,1.11240754044089e-14
"66566","Ntpcr",0.943277497467245,4.30328027892893,69.6164870142405,7.20322764238438e-17,1.2948004025041e-14
"232413","Clec12a",1.63075633910437,3.35226673086242,69.4908835186497,7.67685232753671e-17,1.36460315039925e-14
"268396","Sh3pxd2b",2.06129494272197,3.07886968358315,69.3203899737065,8.36998037516122e-17,1.47146094551461e-14
"217305","Cd300ld",1.16011543344834,3.88673152086278,68.5845508024996,1.21552649910435e-16,2.11369488398602e-14
"13117","Cyp4a10",-1.26062312365995,12.1993086684894,68.1468202351723,1.51764006911181e-16,2.61066729308072e-14
"70123","Nbdy",1.51495548379608,2.05876141421293,67.928520300742,1.69531191513664e-16,2.88527659769744e-14
"72535","Aldh1b1",1.68748542230005,7.42329784546664,67.7974124034689,1.81187115172552e-16,3.05119101950578e-14
"381530","Mup20",3.16809690778364,6.57054295283159,67.320642218994,2.30752674151746e-16,3.83901169128291e-14
"217304","Cd300lb",2.30965943948931,0.786812996268537,67.3034882846415,2.32769179931518e-16,3.83901169128291e-14
"76478","Haus8",1.81330459463384,3.34610182424306,67.1732999217551,2.48659066767399e-16,4.059232398107e-14
"76933","Ifi27l2a",1.49289308760556,4.29513956002517,67.108463470386,2.5697283979576e-16,4.15257726368946e-14
"20198","S100a4",2.16913055606565,3.74220001531718,66.8764162954791,2.89072539389733e-16,4.62458248515694e-14
"20195","S100a11",2.01225739803145,3.85933020018545,66.5186848467228,3.46592645499553e-16,5.48989024029885e-14
"52187","Rragd",2.35384644548596,1.4371734973168,65.9625277940748,4.59577961777432e-16,7.20816493383858e-14
"231805","Pilra",1.12939359578378,2.45587666363234,65.5053329281831,5.7956921938177e-16,9.00189162298015e-14
"215895","Sult3a2",-3.70317493136547,1.46615656579484,65.3582101596659,6.24492134558435e-16,9.56603735547502e-14
"18479","Pak1",1.8430523488553,2.16543506570893,65.3476431552422,6.27849682663381e-16,9.56603735547502e-14
"64099","Parvg",2.28936102590121,1.23770116861441,65.2396340624407,6.63221380059795e-16,1.00096373945251e-13
"18212","Ntrk2",2.63341721368161,3.70696309505939,65.1376944231115,6.98432271569493e-16,1.0442541570625e-13
"69083","Sult1c2",1.20066638997396,2.59862306614411,65.1037660251936,7.10561474499794e-16,1.05255208046738e-13
"20556","Slfn2",1.39941112861722,3.36701066573192,65.0640121680611,7.25041623030999e-16,1.0641482463532e-13
"67442","Retsat",-0.935321508406138,10.0034024289465,64.3589637662003,1.03695549018609e-15,1.50811035745427e-13
"19261","Sirpa",1.83791670517002,5.35352435928785,64.2388808529311,1.10212180577522e-15,1.58844546385514e-13
"16411","Itgax",3.10248968864838,3.17164728206685,64.1661206951941,1.14358440587353e-15,1.63290528901837e-13
"21817","Tgm2",0.899061231453423,8.06954479275217,64.149310552488,1.15338353331089e-15,1.63290528901837e-13
"56386","B4galt6",1.43066985121019,2.67007354299873,63.9347440878565,1.28609386917432e-15,1.80481839640796e-13
"13057","Cyba",1.09294720659209,5.26773451635206,63.1766225833027,1.88977966769427e-15,2.60678760446179e-13
"638251","Sult2a7",-4.12752704537863,4.2062954967394,63.1762290300691,1.89015728289516e-15,2.60678760446179e-13
"14733","Gpc1",1.82729633294426,5.02845716392146,62.8971876799205,2.17782968481341e-15,2.97785635022607e-13
"16822","Lcp2",1.12057082492412,3.28841575652594,62.4058087498797,2.79497625269727e-15,3.78932458395347e-13
"12774","Ccr5",1.89127435467335,1.97888045499679,61.5794106801768,4.25242130002252e-15,5.71682655107229e-13
"15493","Hsd3b2",2.21089693872818,1.56539188293742,61.5489829690043,4.31864662344869e-15,5.75747572349434e-13
"20288","Msr1",1.04683258093396,4.87078133143186,61.4937220152229,4.44157094687892e-15,5.87241752133628e-13
"20303","Ccl4",2.74301474603106,0.978774850848912,61.426477707318,4.59588269368819e-15,6.02133127146881e-13
"12818","Col14a1",1.11726176140199,4.78728876702235,61.412137955542,4.62947709957909e-15,6.02133127146881e-13
"66610","Abi3",1.09619351615572,3.8499843945034,61.3933308221106,4.67391014799764e-15,6.03009794739244e-13
"57430","Sult3a1",-4.290019636623,5.02100099657371,61.2211149173174,5.10115009421123e-15,6.5286559365753e-13
"22329","Vcam1",1.34284564597402,6.09516389741741,60.4771394879258,7.44379591845878e-15,9.45125770662726e-13
"209630","Frmd4a",1.48785501296117,2.25217799285301,60.2736637799913,8.25444775895504e-15,1.03980043502175e-12
"67895","Ppa1",-0.780036217262961,8.17001469734243,60.0777267981141,9.11843891497319e-15,1.1396623887636e-12
"72016","Tedc2",-1.32394281828005,5.9345526185277,59.6365561724797,1.14096009969723e-14,1.41496741666328e-12
"18707","Pik3cd",1.28626168036671,4.46489475995752,59.585172753735,1.17114209576663e-14,1.44122548062112e-12
"240916","Vsig8",4.50112128106299,-0.586129456651973,59.2618122257664,1.38029301786606e-14,1.68564333586421e-12
"22784","Slc30a3",-2.91253169857134,0.837455533759942,59.2365645475535,1.39811662111047e-14,1.69447497761555e-12
"67865","Rgs10",1.46393793839821,2.40804936700198,58.9997155098489,1.57694764501272e-14,1.8968427387153e-12
"13587","Ear2",2.00255976988134,2.49027543437272,58.5945284501567,1.93754550124159e-14,2.3131979797659e-12
"68507","Ppfia4",1.37920117556148,3.72193714453527,58.5267215433527,2.00548534274133e-14,2.3765744083834e-12
"70564","Prxl2a",1.01804422619587,5.18713356220491,58.4895528272966,2.04373304901088e-14,2.40409127338795e-12
"18173","Slc11a1",1.70778343025734,1.86819224594458,58.4192996821288,2.11803032053443e-14,2.47330285167225e-12
"226101","Myof",1.66224389827828,2.88494380011528,58.1039120828839,2.48631378298841e-14,2.88232231161222e-12
"58994","Smpd3",2.78120938450157,1.17294496345853,57.9587596458846,2.67670956475772e-14,3.08071939690604e-12
"230972","Arhgef16",2.02658725407687,1.42210077403136,57.8127432026628,2.88295989321558e-14,3.29439945511878e-12
"26897","Acot1",-1.51109175267551,9.23883818063309,57.7436918163184,2.98596107682819e-14,3.38382061978564e-12
"109225","Ms4a7",2.19011794590401,1.52008098260912,57.7321611025365,3.0035162395897e-14,3.38382061978564e-12
"17970","Ncf2",1.51380760279902,2.43549453553708,57.4504951191818,3.46593937030687e-14,3.87748937385799e-12
"52696","Zwint",-1.02430022587996,4.55394243011026,57.3378554986348,3.67022601161223e-14,4.07751914817864e-12
"75746","Morc4",1.26235463321664,3.95392475254006,57.2675491519452,3.80379834070229e-14,4.16904257794774e-12
"14127","Fcer1g",1.16000597207427,4.94812814302835,57.2670690744357,3.80472694324522e-14,4.16904257794774e-12
"214359","Tmem51",1.02129999741821,4.42671662142854,56.7446259754341,4.96245177032549e-14,5.4006328858277e-12
"12044","Bcl2a1a",2.42510838919679,1.56012360484995,56.6775445526563,5.13465597422711e-14,5.52452318516009e-12
"14129","Fcgr1",1.60903275259407,3.09346874796861,56.6734512353586,5.14535538560353e-14,5.52452318516009e-12
"56050","Cyp39a1",-1.51525528587197,5.01606832932279,56.1589910815077,6.68412375354726e-14,7.12884078728328e-12
"383619","Aim2",1.22846075819296,2.64340808736922,55.9502079300107,7.43298725813787e-14,7.87502848713176e-12
"20541","Slc8a1",1.59699486877833,1.68420672152365,55.7572648936491,8.19947089898719e-14,8.62994312118401e-12
"240055","Neurl1b",1.49767997006276,2.63705586781283,55.2857188060043,1.04223073515715e-13,1.08977825497021e-11
"12925","Crip1",1.42134963985388,3.82594714528463,55.0946027314279,1.14865892816993e-13,1.19326269693913e-11
"243912","Hspb6",-0.921312742789498,4.50100005291341,55.0056805275502,1.20181976393867e-13,1.24043306990263e-11
"16633","Klra2",1.24244229833952,2.06018918326091,54.8982508834138,1.26933923176953e-13,1.29501452537506e-11
"56744","Pf4",1.83357776672662,2.04602370207281,54.8958483136616,1.27089186450734e-13,1.29501452537506e-11
"103142","Rdh9",1.36529752706541,6.61347810103261,54.8267166780646,1.31639069366779e-13,1.33288723527198e-11
"19025","Ctsa",0.795927228857636,5.122683564547,54.6435638405831,1.44496771153354e-13,1.45387380183104e-11
"20491","Sla",1.24360643483816,2.80443655191599,54.570831829471,1.49944722269735e-13,1.49925979179451e-11
"17329","Cxcl9",1.65912228415657,4.28792375736761,53.947899173325,2.05877031228903e-13,2.04572717118012e-11
"240334","Pcyox1l",1.4662439633499,1.96518512600235,53.6781045723857,2.36180799988907e-13,2.32855196408549e-11
"15277","Hk2",1.60387951023396,2.17860848940038,53.6692232508659,2.37250887702172e-13,2.32855196408549e-11
"235442","Rab8b",2.10180751524158,1.0704771553963,53.5744990066855,2.48970229504867e-13,2.42867422659686e-11
"16592","Fabp5",1.88038387731089,2.57597738050045,53.353461580034,2.78619835695129e-13,2.70143038269738e-11
"22619","Siae",0.839652983539406,5.56799742561108,53.3149668693897,2.84133466341797e-13,2.73829349068438e-11
"320148","B430306N03Rik",1.40405075916791,2.4698837643836,53.2331884776042,2.96211690977116e-13,2.83760157619875e-11
"78688","Nol3",2.97173286406344,0.440182565627551,53.2133316920775,2.99221133444534e-13,2.84936886478908e-11
"16325","Inhbc",-1.03556893979141,5.73935422124286,53.1328470280883,3.11735764326332e-13,2.95097559626785e-11
"19376","Rab34",1.35155371370216,3.52164925916549,52.9505597257524,3.42050539323484e-13,3.21889678123359e-11
"12273","C5ar1",2.20650196388704,0.858480546819137,52.8196949226993,3.65616608235138e-13,3.42054649037762e-11
"100034251","Wfdc17",1.33600674155828,5.47614540018043,52.6636633689895,3.95847422185804e-13,3.68184131402819e-11
"15162","Hck",1.17856721615414,3.69942815651752,52.532075795875,4.23278318557442e-13,3.91422343368899e-11
"98878","Ehd4",0.823324125787511,4.56930222715792,52.3445382210719,4.65691971646965e-13,4.28168974851042e-11
"246727","Oas3",1.75185082390916,1.51281571690647,52.3099547807989,4.7396572818522e-13,4.3328592682898e-11
"68514","Micu2",0.860332996296087,5.38944675439801,52.2623916107706,4.85585559323498e-13,4.4138623738962e-11
"641376","Tomm40l",-1.01372042448751,7.49520737340941,52.188321976287,5.0425121374874e-13,4.55763328675273e-11
"13077","Cyp1a2",-1.33409598596244,7.83156660256445,51.8893114031007,5.8719193741999e-13,5.27747000833989e-11
"54139","Irf6",-1.337995165151,3.85727091179398,51.7305100352492,6.36656858935363e-13,5.69007621745695e-11
"233065","Alkbh6",1.18698520739899,1.95815336241805,51.3752871860812,7.62929187034191e-13,6.78074507454055e-11
"19049","Ppp1r1b",1.53015418639216,2.1618610822319,51.1195584383016,8.69080366547059e-13,7.68151806851925e-11
"17060","Blnk",1.6779704667168,2.41571250962502,51.0000154279496,9.23652401958594e-13,8.11900611347999e-11
"232201","Arhgap25",1.68528613937934,2.00671210275558,50.9402049683958,9.52230113960757e-13,8.32446850445038e-11
"16068","Il18bp",0.985156975899263,4.66253635478859,50.4170813790794,1.24307530438725e-12,1.08079993041235e-10
"11488","Adam11",1.96359801598996,4.93634334404154,50.3648664211478,1.27659349056903e-12,1.10394284660126e-10
"19659","Rbp1",1.46089096430938,4.53256330320267,50.2276158474689,1.36907505826835e-12,1.17755176248264e-10
"64074","Smoc2",2.11951780096335,2.38158231615221,49.9942867050117,1.54194293686814e-12,1.31914455101692e-10
"23996","Psmc4",-0.735649092106564,6.49398321137312,49.9637496609251,1.56612769176204e-12,1.33270802195794e-10
"11983","Atpif1",0.894199172834479,5.5320861497882,49.7527129057702,1.74396879934104e-12,1.47619115618296e-10
"17069","Ly6e",1.08614506018469,8.01938393002223,49.5439176850599,1.9398032363506e-12,1.63331432500721e-10
"66443","Tnfaip8l1",-1.05197152846619,6.39872049859146,49.4000083748328,2.08744754033487e-12,1.74842857331295e-10
"14999","H2-DMb1",1.93422175740856,5.2090752167027,49.2635795176332,2.237788605421e-12,1.8645907348711e-10
"100616095","Snhg18",1.4742500004348,2.91234021802101,48.8619654609138,2.74624921639605e-12,2.27639870279295e-10
