"","X17.bam","X18.bam","X19.bam","X20.bam","X21.bam","X22.bam","X23.bam","X24.bam","X32.bam","X33.bam","X34.bam","X35.bam","X36.bam","X37.bam","X38.bam"
"497097",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"100503874",1,1,0,1,0,0,1,0,0,2,1,1,0,2,1
"100038431",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19888",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20671",15,13,17,9,5,12,6,8,12,19,14,13,10,22,23
"27395",1317,1547,1272,1381,905,1255,1426,1415,1094,1542,1150,1149,1103,1094,1059
"18777",13,26,19,20,6,14,21,23,26,14,12,8,23,11,13
"100503730",10,29,21,11,5,9,3,12,13,16,25,9,2,5,7
"21399",42,124,68,52,32,64,67,95,72,89,87,42,73,98,115
"58175",0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
"108664",91,205,133,150,95,178,147,193,189,194,228,115,180,248,329
"18387",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"226304",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"12421",258,262,267,245,195,355,396,348,349,413,279,279,288,359,370
"620393",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"240690",0,0,0,0,0,0,0,0,1,0,1,0,1,2,0
"319263",1057,1194,1054,870,710,1250,1284,1371,1206,1467,1118,1025,1100,1165,1356
"71096",1,2,1,0,0,1,2,1,1,0,3,0,10,4,4
"59014",86,181,181,174,109,238,218,278,226,303,250,165,240,270,461
"76187",86,135,142,122,74,127,77,152,138,201,280,134,190,171,338
"72481",9,6,9,3,7,13,8,17,19,13,2,17,10,11,10
"76982",0,0,0,0,0,1,0,2,0,0,6,0,0,0,0
"17864",1,0,1,2,1,4,1,6,0,0,1,3,0,5,2
"70675",139,121,137,136,88,110,147,162,151,158,120,142,140,156,177
"73331",4,6,3,2,0,0,1,3,2,1,8,2,3,7,4
"170755",84,100,92,120,66,86,86,106,153,132,146,113,140,199,139
"620986",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"240697",0,0,1,3,1,2,0,1,0,0,0,0,0,1,3
"73824",0,2,10,0,1,3,1,5,0,0,7,0,1,0,4
"266793",1,2,0,0,0,2,0,3,1,2,0,1,3,1,1
"100038398",27,26,18,24,12,10,11,8,3,5,7,6,11,18,3
"100039596",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
"69312",5,8,3,2,3,18,1,25,6,3,5,1,4,13,27
"26754",1965,1834,1642,2259,1521,2199,2149,2317,1934,1838,1390,1658,1665,2201,1886
"211660",320,332,235,276,226,243,266,326,225,307,259,268,331,311,251
"211673",220,428,338,297,129,359,308,446,366,439,425,227,336,416,592
"329093",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109294",71,48,38,61,42,56,79,66,62,55,49,63,63,56,64
"320492",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"329096",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"240725",0,0,2,0,3,3,5,2,2,6,5,3,8,16,6
"240726",0,0,0,0,1,0,0,0,2,1,4,0,0,2,1
"383491",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17978",45,70,48,59,45,94,75,93,89,74,83,55,85,112,137
"72265",262,477,356,307,237,418,372,483,418,568,639,310,428,623,657
"212442",40,75,56,34,30,47,42,66,43,79,81,37,50,100,96
"381246",29,29,23,25,20,25,23,36,36,33,41,24,32,42,59
"433273",3,8,6,3,1,2,2,4,10,9,7,3,4,6,14
"14048",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17681",20,40,14,21,6,17,26,22,52,29,62,33,44,67,50
"277328",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98741",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21749",38,37,34,34,18,40,32,30,27,37,30,19,38,34,40
"226866",0,3,1,0,0,0,0,0,0,0,0,0,2,1,0
"665434",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75799",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19989",1033,1729,1300,1283,608,1215,1227,1398,1341,1743,1464,1231,1331,1579,1464
"98711",97,190,193,197,171,257,191,279,311,195,140,137,194,258,285
"29819",25,19,25,47,24,32,19,23,24,45,59,53,54,81,27
