"","Symbol","logFC","logCPM","LR","PValue","FDR"
"56644","Clec7a",2.3128147695622,4.96600249157575,161.627637350411,4.98930526984965e-37,7.98039377912452e-33
"17381","Mmp12",4.1722826923286,2.58982151404419,150.554160942011,1.31170078759366e-34,7.04290912154205e-31
"102022","Ces2a",-1.91901780406377,7.81920472936592,150.540186926859,1.32095825974531e-34,7.04290912154205e-31
"14961","H2-Ab1",1.9017173147279,5.73606093617718,141.893145194734,1.02623256099151e-32,4.10364745326482e-29
"13051","Cx3cr1",2.86689785638359,4.24877646664456,139.2602529705,3.86351213117913e-32,1.2359375307642e-28
"14960","H2-Aa",2.11635906937982,6.00192538239365,137.847212036193,7.87052938961826e-32,2.0981519597824e-28
"67893","Tmem86a",1.77570025417744,4.10957293591807,136.243295140152,1.76520721099215e-31,4.03349847711707e-28
"12842","Col1a1",3.52040427899326,3.77153287523691,128.522655595185,8.62570029820046e-30,1.72460095337145e-26
"13844","Ephb2",4.74432038351512,2.51126719199675,123.174673944794,1.27697312409378e-28,2.26946501332e-25
"12512","Cd63",3.00922727105108,6.86374921537593,122.137270917868,2.15406483822107e-28,3.4454267087346e-25
"14969","H2-Eb1",1.93432170737754,6.09980902513898,119.630866119205,7.61988732397478e-28,1.10800088860888e-24
"227620","Uap1l1",2.42031295941968,4.94485419272055,118.584159622094,1.29156267269183e-27,1.72154541247548e-24
"19261","Sirpa",1.68738927080704,5.16519375389614,118.260323104749,1.5206171034607e-27,1.87094388998876e-24
"382044","Ces1b",-1.3651234432522,6.28322762954769,110.856828839593,6.36020843179918e-26,6.88855353894133e-23
"226101","Myof",2.05847573482778,2.67109058978781,110.825954560462,6.46003770454017e-26,6.88855353894133e-23
"11813","Apoc2",1.27921679107156,9.7828304244547,109.561668769998,1.22241691304775e-25,1.22203490776242e-22
"20195","S100a11",2.72053426876702,4.25773135778428,108.687170692209,1.90030735254714e-25,1.78796565317597e-22
"16956","Lpl",2.58358907911367,6.59584201002581,107.858390215032,2.88684882789376e-25,2.56528594456448e-22
"12818","Col14a1",1.20929829881511,5.0509836004137,106.900549258366,4.68078892410895e-25,3.94048520216435e-22
"24108","Ubd",4.44443682952297,4.54152438053108,106.038761115464,7.230695203894e-25,5.78274848931423e-22
